metric,normalization,ranking,value
original_preference_pct,docstring,base,1440.8536585365853
original_preference_pct,functions,base,1090.2439024390244
original_preference_pct,variables,base,848.7804878048781
original_preference_pct,both,base,329.2682926829268
original_preference_pct,docstring,reranked,1402.4390243902437
original_preference_pct,functions,reranked,1081.7073170731708
original_preference_pct,variables,reranked,855.4878048780488
original_preference_pct,both,reranked,327.4390243902439
average_rank,none,base,44.63892723328732
average_rank,docstring,base,48.22629482071713
average_rank,functions,base,52.1944510882564
average_rank,variables,base,51.8276524243879
average_rank,both,base,59.755384615384614
average_rank,none,reranked,44.600473279432066
average_rank,docstring,reranked,48.04116865869854
average_rank,functions,reranked,52.03181057163358
average_rank,variables,reranked,52.67642822851656
average_rank,both,reranked,59.604615384615386
median_rank,none,base,42.0
median_rank,docstring,base,47.0
median_rank,functions,base,52.0
median_rank,variables,base,54.0
median_rank,both,base,61.5
median_rank,none,reranked,42.0
median_rank,docstring,reranked,47.0
median_rank,functions,reranked,52.0
median_rank,variables,reranked,54.0
median_rank,both,reranked,61.5
irrelevant_preference_pct,docstring,base,0.2037905033625433
irrelevant_preference_pct,functions,base,12.24825318536786
irrelevant_preference_pct,variables,base,2.914204198084369
irrelevant_preference_pct,both,base,37.24207347760443
irrelevant_preference_pct,docstring,reranked,0.18341145302628897
irrelevant_preference_pct,functions,reranked,8.795725441841348
irrelevant_preference_pct,variables,reranked,11.43264723863868
irrelevant_preference_pct,both,reranked,34.77604428787116
