metric,normalization,value
original_preference_pct,docstring,1440.8536585365853
original_preference_pct,functions,1090.2439024390244
original_preference_pct,variables,848.7804878048781
original_preference_pct,both,329.2682926829268
average_rank,none,44.63892723328732
average_rank,docstring,48.22629482071713
average_rank,functions,52.1944510882564
average_rank,variables,51.8276524243879
average_rank,both,59.755384615384614
median_rank,none,42.0
median_rank,docstring,47.0
median_rank,functions,52.0
median_rank,variables,54.0
median_rank,both,61.5
irrelevant_preference_pct,docstring,0.2037905033625433
irrelevant_preference_pct,functions,12.24825318536786
irrelevant_preference_pct,variables,2.914204198084369
irrelevant_preference_pct,both,37.24207347760443
