llm_model,embedding_model,normalization_type,rerank_k,initial_k,alpha,baseline_recall@1,baseline_recall@5,baseline_recall@10,baseline_recall@50,baseline_recall@100,reranked_recall@1,reranked_recall@5,reranked_recall@10,reranked_recall@50,reranked_recall@100
mistralai/Mixtral-8x7B-Instruct-v0.1,avsolatorio/GIST-large-Embedding-v0,none,5,100,0.7,1.0,1.0,1.0,1.0,1.0,0.9878048780487805,1.0,1.0,1.0,1.0
mistralai/Mixtral-8x7B-Instruct-v0.1,avsolatorio/GIST-large-Embedding-v0,none,10,100,0.7,1.0,1.0,1.0,1.0,1.0,0.9939024390243902,1.0,1.0,1.0,1.0
mistralai/Mixtral-8x7B-Instruct-v0.1,avsolatorio/GIST-large-Embedding-v0,none,25,100,0.7,1.0,1.0,1.0,1.0,1.0,0.9939024390243902,1.0,1.0,1.0,1.0
mistralai/Mixtral-8x7B-Instruct-v0.1,avsolatorio/GIST-large-Embedding-v0,docstring,5,100,0.7,0.9817073170731707,1.0,1.0,1.0,1.0,0.9878048780487805,1.0,1.0,1.0,1.0
mistralai/Mixtral-8x7B-Instruct-v0.1,avsolatorio/GIST-large-Embedding-v0,docstring,10,100,0.7,0.9817073170731707,1.0,1.0,1.0,1.0,0.9878048780487805,1.0,1.0,1.0,1.0
mistralai/Mixtral-8x7B-Instruct-v0.1,avsolatorio/GIST-large-Embedding-v0,docstring,25,100,0.7,0.9817073170731707,1.0,1.0,1.0,1.0,0.9878048780487805,1.0,1.0,1.0,1.0
mistralai/Mixtral-8x7B-Instruct-v0.1,avsolatorio/GIST-large-Embedding-v0,variables,5,100,0.7,0.006097560975609756,0.006097560975609756,0.018292682926829267,0.04878048780487805,0.1402439024390244,0.006097560975609756,0.006097560975609756,0.018292682926829267,0.04878048780487805,0.1402439024390244
mistralai/Mixtral-8x7B-Instruct-v0.1,avsolatorio/GIST-large-Embedding-v0,variables,10,100,0.7,0.006097560975609756,0.006097560975609756,0.018292682926829267,0.04878048780487805,0.1402439024390244,0.006097560975609756,0.018292682926829267,0.018292682926829267,0.04878048780487805,0.1402439024390244
mistralai/Mixtral-8x7B-Instruct-v0.1,avsolatorio/GIST-large-Embedding-v0,variables,25,100,0.7,0.006097560975609756,0.006097560975609756,0.018292682926829267,0.04878048780487805,0.1402439024390244,0.006097560975609756,0.018292682926829267,0.018292682926829267,0.04878048780487805,0.1402439024390244
mistralai/Mixtral-8x7B-Instruct-v0.1,avsolatorio/GIST-large-Embedding-v0,functions,5,100,0.7,0.3597560975609756,0.6036585365853658,0.7378048780487805,0.8963414634146342,0.9634146341463414,0.4573170731707317,0.6036585365853658,0.7378048780487805,0.8963414634146342,0.9634146341463414
mistralai/Mixtral-8x7B-Instruct-v0.1,avsolatorio/GIST-large-Embedding-v0,functions,10,100,0.7,0.3597560975609756,0.6036585365853658,0.7378048780487805,0.8963414634146342,0.9634146341463414,0.49390243902439024,0.7073170731707317,0.7378048780487805,0.8963414634146342,0.9634146341463414
mistralai/Mixtral-8x7B-Instruct-v0.1,avsolatorio/GIST-large-Embedding-v0,functions,25,100,0.7,0.3597560975609756,0.6036585365853658,0.7378048780487805,0.8963414634146342,0.9634146341463414,0.5060975609756098,0.7560975609756098,0.8048780487804879,0.8963414634146342,0.9634146341463414
mistralai/Mixtral-8x7B-Instruct-v0.1,avsolatorio/GIST-large-Embedding-v0,both,5,100,0.7,0.006097560975609756,0.006097560975609756,0.018292682926829267,0.04878048780487805,0.1402439024390244,0.006097560975609756,0.006097560975609756,0.018292682926829267,0.04878048780487805,0.1402439024390244
mistralai/Mixtral-8x7B-Instruct-v0.1,avsolatorio/GIST-large-Embedding-v0,both,10,100,0.7,0.006097560975609756,0.006097560975609756,0.018292682926829267,0.04878048780487805,0.1402439024390244,0.006097560975609756,0.018292682926829267,0.018292682926829267,0.04878048780487805,0.1402439024390244
mistralai/Mixtral-8x7B-Instruct-v0.1,avsolatorio/GIST-large-Embedding-v0,both,25,100,0.7,0.006097560975609756,0.006097560975609756,0.018292682926829267,0.04878048780487805,0.1402439024390244,0.006097560975609756,0.018292682926829267,0.018292682926829267,0.04878048780487805,0.1402439024390244
