llm_model,embedding_model,normalization_type,rerank_k,initial_k,alpha,baseline_recall@1,baseline_recall@5,baseline_recall@10,baseline_recall@50,baseline_recall@100,reranked_recall@1,reranked_recall@5,reranked_recall@10,reranked_recall@50,reranked_recall@100
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,none,5,100,0.7,1.0,1.0,1.0,1.0,1.0,0.9939024390243902,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,none,10,100,0.7,1.0,1.0,1.0,1.0,1.0,0.9939024390243902,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,none,25,100,0.7,1.0,1.0,1.0,1.0,1.0,0.9939024390243902,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,docstring,5,100,0.7,0.9878048780487805,1.0,1.0,1.0,1.0,0.9817073170731707,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,docstring,10,100,0.7,0.9878048780487805,1.0,1.0,1.0,1.0,0.9817073170731707,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,docstring,25,100,0.7,0.9878048780487805,1.0,1.0,1.0,1.0,0.9817073170731707,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,variables,5,100,0.7,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.09146341463414634,0.14634146341463414,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.09146341463414634,0.14634146341463414
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,variables,10,100,0.7,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.09146341463414634,0.14634146341463414,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.09146341463414634,0.14634146341463414
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,variables,25,100,0.7,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.09146341463414634,0.14634146341463414,0.018292682926829267,0.042682926829268296,0.054878048780487805,0.09146341463414634,0.14634146341463414
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,functions,5,100,0.7,0.31097560975609756,0.5548780487804879,0.6219512195121951,0.8841463414634146,0.9512195121951219,0.42073170731707316,0.5548780487804879,0.6219512195121951,0.8841463414634146,0.9512195121951219
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,functions,10,100,0.7,0.31097560975609756,0.5548780487804879,0.6219512195121951,0.8841463414634146,0.9512195121951219,0.4634146341463415,0.6219512195121951,0.6219512195121951,0.8841463414634146,0.9512195121951219
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,functions,25,100,0.7,0.31097560975609756,0.5548780487804879,0.6219512195121951,0.8841463414634146,0.9512195121951219,0.5121951219512195,0.7195121951219512,0.75,0.8841463414634146,0.9512195121951219
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,both,5,100,0.7,0.012195121951219513,0.012195121951219513,0.018292682926829267,0.09146341463414634,0.14634146341463414,0.012195121951219513,0.012195121951219513,0.018292682926829267,0.09146341463414634,0.14634146341463414
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,both,10,100,0.7,0.012195121951219513,0.012195121951219513,0.018292682926829267,0.09146341463414634,0.14634146341463414,0.018292682926829267,0.018292682926829267,0.018292682926829267,0.09146341463414634,0.14634146341463414
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,both,25,100,0.7,0.012195121951219513,0.012195121951219513,0.018292682926829267,0.09146341463414634,0.14634146341463414,0.018292682926829267,0.042682926829268296,0.054878048780487805,0.09146341463414634,0.14634146341463414
