llm_model,embedding_model,normalization_type,rerank_k,initial_k,alpha,baseline_recall@1,baseline_recall@5,baseline_recall@10,baseline_recall@25,baseline_recall@100,reranked_recall@1,reranked_recall@5,reranked_recall@10,reranked_recall@25,reranked_recall@100
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,5,100,0.7,1.0,1.0,1.0,1.0,1.0,0.9939024390243902,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,10,100,0.7,1.0,1.0,1.0,1.0,1.0,0.9939024390243902,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,25,100,0.7,1.0,1.0,1.0,1.0,1.0,0.9939024390243902,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,5,100,0.7,0.9817073170731707,1.0,1.0,1.0,1.0,0.975609756097561,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,10,100,0.7,0.9817073170731707,1.0,1.0,1.0,1.0,0.975609756097561,0.9939024390243902,1.0,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,25,100,0.7,0.9817073170731707,1.0,1.0,1.0,1.0,0.975609756097561,0.9939024390243902,1.0,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,5,100,0.7,0.006097560975609756,0.006097560975609756,0.018292682926829267,0.018292682926829267,0.1402439024390244,0.006097560975609756,0.006097560975609756,0.018292682926829267,0.018292682926829267,0.1402439024390244
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,10,100,0.7,0.006097560975609756,0.006097560975609756,0.018292682926829267,0.018292682926829267,0.1402439024390244,0.012195121951219513,0.012195121951219513,0.018292682926829267,0.018292682926829267,0.1402439024390244
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,25,100,0.7,0.006097560975609756,0.006097560975609756,0.018292682926829267,0.018292682926829267,0.1402439024390244,0.012195121951219513,0.012195121951219513,0.018292682926829267,0.018292682926829267,0.1402439024390244
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,5,100,0.7,0.3597560975609756,0.6036585365853658,0.7378048780487805,0.823170731707317,0.9634146341463414,0.4634146341463415,0.6036585365853658,0.7378048780487805,0.823170731707317,0.9634146341463414
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,10,100,0.7,0.3597560975609756,0.6036585365853658,0.7378048780487805,0.823170731707317,0.9634146341463414,0.5,0.7195121951219512,0.7378048780487805,0.823170731707317,0.9634146341463414
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,25,100,0.7,0.3597560975609756,0.6036585365853658,0.7378048780487805,0.823170731707317,0.9634146341463414,0.5365853658536586,0.7865853658536586,0.8109756097560976,0.823170731707317,0.9634146341463414
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,both,5,100,0.7,0.006097560975609756,0.006097560975609756,0.018292682926829267,0.018292682926829267,0.1402439024390244,0.006097560975609756,0.006097560975609756,0.018292682926829267,0.018292682926829267,0.1402439024390244
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,both,10,100,0.7,0.006097560975609756,0.006097560975609756,0.018292682926829267,0.018292682926829267,0.1402439024390244,0.012195121951219513,0.012195121951219513,0.018292682926829267,0.018292682926829267,0.1402439024390244
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,both,25,100,0.7,0.006097560975609756,0.006097560975609756,0.018292682926829267,0.018292682926829267,0.1402439024390244,0.012195121951219513,0.012195121951219513,0.018292682926829267,0.018292682926829267,0.1402439024390244
